,ao_link,lat,lon,itemLabel,description,tier,color,address,url,thingLabel,fetched_coordinates,location,distance,item,sitelinks,placeLabel,articleDE,articleEN,thing,to_drop_key
1,https://www.atlasobscura.com/places/basilica-cisterns-istanbul,41.008382,28.977883,Basilica Cisterns of Istanbul,A marvel of Byzantine engineering under the streets of Istanbul.,atlas_obscura,gold,,,,,,,,,,,,,"(41.008382, 28.977883)"
4,https://www.atlasobscura.com/places/ottoman-bird-palaces,41.024593,29.015021,Ottoman Bird Palaces,The ornate miniature mansions were built for Istanbul's feathered residents.,atlas_obscura,gold,,,,,,,,,,,,,"(41.024593, 29.015021)"
6,https://www.atlasobscura.com/places/tombili,40.989004,29.041673,Tombili,"A meow-velous tribute to a beloved street cat, made famous on the internet.",atlas_obscura,gold,,,,,,,,,,,,,"(40.989004, 29.041673)"
7,https://www.atlasobscura.com/places/viking-runes-at-hagia-sophia,41.008583,28.980175,Viking Runes at Hagia Sophia,A small etching on the white marble parapet was written in runic script by a Viking mercenary.,atlas_obscura,gold,,,,,,,,,,,,,"(41.008583, 28.980175)"
9,https://www.atlasobscura.com/places/tombs-of-the-sultans,41.008566,28.980169,Tombs of the Sultans,"Five sultans and their families rest in eternal splendor, teeming with overlooked beauty and drama.",atlas_obscura,gold,,,,,,,,,,,,,"(41.008566, 28.980169)"
12,https://www.atlasobscura.com/places/obelisk-of-theodosius,41.005887,28.975423,Obelisk of Theodosius,This remarkably well-preserved Egyptian plinth is pretty well traveled for a giant piece of stone.,atlas_obscura,gold,,,,,,,,,,,,,"(41.005887, 28.975423)"
14,https://www.atlasobscura.com/places/hagia-sophia-wishing-column,41.00836,28.979376,Hagia Sophia Wishing Column,"Legend says if you stick your thumb in the hole and it gets wet, your wish will be granted.",atlas_obscura,gold,,,,,,,,,,,,,"(41.00836, 28.979376)"
15,https://www.atlasobscura.com/places/camondo-stairs,41.023959,28.973743,Camondo Stairs,"A gorgeous, Gaudí-esque stairway constructed in the city of Istanbul by a prominent Jewish family.",atlas_obscura,gold,,,,,,,,,,,,,"(41.023959, 28.973743)"
16,https://www.atlasobscura.com/places/minyat-r-s-nautical-instruments,41.010822,28.968451,Minyatür’s Nautical Instruments,Turkish adventurer antiques in the heart of the Grand Bazaar.,atlas_obscura,gold,,,,,,,,,,,,,"(41.010822, 28.968451)"
18,https://www.atlasobscura.com/places/nakilbent-cistern,41.004113,28.975099,Nakilbent Cistern,A sixth-century Byzantine cistern hidden below a modern carpet store.,atlas_obscura,gold,,,,,,,,,,,,,"(41.004113, 28.975099)"
